kategorie;name;date;venue;city;country;from_price;currency;slug;url
Tennis;Monte Carlo Rolex Masters 2027;03.04.2027 – 11.04.2027;Monte Carlo Country Club;Roquebrune-Cap-Martin;Frankreich;;;monte-carlo-rolex-masters-tickets;https://faltintravel.com/monte-carlo-rolex-masters-tickets/
Tennis;Mutua Madrid Open 2026;20.04.2026 – 03.05.2026;Caja Mágica;Madrid;Spanien;;;mutua-madrid-open;https://faltintravel.com/mutua-madrid-open/
Tennis;Internazionali BNL d'Italia 2026;06.05.2026 – 17.05.2026;Foro Italico;Rom;Italien;;;rom-masters-tickets;https://faltintravel.com/rom-masters-tickets/
Tennis;Swiss Indoors 2025;18.10.2025 – 26.10.2025;St. Jakobshalle;Basel;Schweiz;;;swiss-indoors-tickets;https://faltintravel.com/swiss-indoors-tickets/
Tennis;Laver Cup 2026;25.09.2026 – 27.09.2026;The O2 Arena;London;Grossbritannien;;;laver-cup-tickets;https://faltintravel.com/laver-cup-tickets/
Motor- & Radsport;Formel 1 Tickets & Reisen;16.03.2025 – 07.12.2025;24 Austragungsorte;;;;;formel-1-tickets;https://faltintravel.com/formel-1-tickets/
Motor- & Radsport;Monaco Grand Prix Tickets & Reisen;05.06.2026 – 07.06.2026;Circuit de Monaco;Monte-Carlo;Monaco;;;monaco-grand-prix-tickets;https://faltintravel.com/monaco-grand-prix-tickets/
Motor- & Radsport;MotoGP Tickets & Reisen;02.03.2025 – 16.11.2025;22 Austragungsorte;;;;;motogp-tickets;https://faltintravel.com/motogp-tickets/
Motor- & Radsport;24h Le Mans Tickets & Reisen;13.06.2026 – 14.06.2026;Circuit de la Sarthe;Le Mans;Frankreich;;;le-mans-tickets;https://faltintravel.com/le-mans-tickets/
Motor- & Radsport;Tour de France Finale Tickets & Reisen;26.07.2026;Champs-Élysées;Paris;Frankreich;;;tour-de-france-finale-tickets;https://faltintravel.com/tour-de-france-finale-tickets/
Weitere Sportarten;Super Bowl LXI Tickets & Reisen;14.02.2027;SoFi Stadium;Inglewood / Los Angeles;USA;;;super-bowl-2027-tickets;https://faltintravel.com/super-bowl-2027-tickets/
Weitere Sportarten;Super Bowl Tickets & Reisen;14.02.2027;SoFi Stadium;Inglewood / Los Angeles;USA;;;super-bowl-2026-tickets;https://faltintravel.com/super-bowl-2026-tickets/
Weitere Sportarten;Ryder Cup 2027 Tickets & Reisen;17.09.2027 – 19.09.2027;Adare Manor;County Limerick;Irland;;;ryder-cup-2027-tickets;https://faltintravel.com/ryder-cup-2027-tickets/
Weitere Sportarten;2027 Ryder Cup Travel Packages;17.09.2027 – 19.09.2027;Adare Manor;County Limerick;Irland;;;2027-ryder-cup-travel-packages;https://faltintravel.com/2027-ryder-cup-travel-packages/
Weitere Sportarten;Ryder Cup Tickets & Reisen;17.09.2027 – 19.09.2027;Adare Manor;County Limerick;Irland;;;ryder-cup-tickets;https://faltintravel.com/ryder-cup-tickets/
Weitere Sportarten;NFL München Game Tickets & Reisen;November 2026;Allianz Arena;München;Deutschland;;;nfl-munich-tickets;https://faltintravel.com/nfl-munich-tickets/
Weitere Sportarten;NFL London Games 2025;Oktober 2025;Tottenham Hotspur Stadium & Wembley Stadium;London;Vereinigtes Königreich;;;nfl-london-games;https://faltintravel.com/nfl-london-games/
Weitere Sportarten;The Masters 2026;09.04.2026 – 12.04.2026;Augusta National Golf Club;Augusta;USA;;;masters-augusta-tickets;https://faltintravel.com/masters-augusta-tickets/
Weitere Sportarten;Olympia 2028;14.07.2028 – 30.07.2028;;Los Angeles;USA;;;olympia-2028-tickets;https://faltintravel.com/olympia-2028-tickets/
Weitere Sportarten;IIHF Eishockey WM 2026;15.05.2026 – 31.05.2026;Swiss Life Arena & BCF Arena;Zürich & Fribourg;Schweiz;;;iihf-eishockey-wm-tickets;https://faltintravel.com/iihf-eishockey-wm-tickets/
Weitere Sportarten;America's Cup 2024;22.08.2024 – 20.10.2024;Hafen von Barcelona;Barcelona;Spanien;;;americas-cup;https://faltintravel.com/americas-cup/
Weitere Sportarten;Rugby World Cup 2027;01.10.2027 – 13.11.2027;;;Australien;;;rugby-union-weltmeisterschaft;https://faltintravel.com/rugby-union-weltmeisterschaft/
Weitere Sportarten;Rugby Six Nations 2026;05.02.2026 – 14.03.2026;;London, Paris, Dublin, Rom, Edinburgh, Cardiff;Europa;;;rugby-six-nations;https://faltintravel.com/rugby-six-nations/
Weitere Sportarten;PDC Darts WM 2027;11.12.2026 – 03.01.2027;Alexandra Palace;London;Vereinigtes Königreich;;;darts-wm-tickets;https://faltintravel.com/darts-wm-tickets/
Weitere Sportarten;Lidl Final4 2026;18.04.2026 – 19.04.2026;LANXESS arena;Köln;Deutschland;;;lidl-final4-tickets;https://faltintravel.com/lidl-final4-tickets/
Weitere Sportarten;Hahnenkamm Rennen 2027;18.01.2027 – 24.01.2027;Streif;Kitzbühel;Österreich;;;hahnenkamm-rennen-tickets;https://faltintravel.com/hahnenkamm-rennen-tickets/
Kultur · Klassik;Wiener Neujahrskonzert 2027;01.01.2027;Musikvereinssaal;Wien;Österreich;;;neujahrskonzert-tickets;https://faltintravel.com/neujahrskonzert-tickets/
Kultur · Klassik;Wiener Opernball 2027;04.02.2027;Wiener Staatsoper;Wien;Österreich;;;wiener-opernball-tickets;https://faltintravel.com/wiener-opernball-tickets/
Kultur · Klassik;Bayreuther Festspiele 2026;25.07.2026 – 26.08.2026;Richard-Wagner-Festspielhaus;Bayreuth;Deutschland;;;bayreuther-festspiele-tickets-3;https://faltintravel.com/bayreuther-festspiele-tickets-3/
Kultur · Klassik;Hamburger Elbphilharmonie;;Elbphilharmonie;Hamburg;Deutschland;;;elbphilharmonie-tickets;https://faltintravel.com/elbphilharmonie-tickets/
Kultur · Weitere;Last Night of the Proms 2026;12.09.2026;Royal Albert Hall;London;Vereinigtes Königreich;;;last-night-of-the-proms-tickets;https://faltintravel.com/last-night-of-the-proms-tickets/
Kultur · Weitere;Eurovision Song Contest 2026;16.05.2026;Wiener Stadthalle;Wien;Österreich;;;eurovision-song-contest-tickets;https://faltintravel.com/eurovision-song-contest-tickets/
Kultur · Weitere;Oktoberfest 2026;19.09.2026 – 04.10.2026;Theresienwiese;München;Deutschland;;;oktoberfest-tischreservierungen;https://faltintravel.com/oktoberfest-tischreservierungen/
Kultur · Weitere;Burning Man 2026;30.08.2026 – 07.09.2026;Black Rock Desert;Black Rock City;USA;;;burning-man-tickets;https://faltintravel.com/burning-man-tickets/
Kultur · Weitere;Karneval in Rio 2026;13.02.2026 – 21.02.2026;Sambódromo;Rio de Janeiro;Brasilien;;;karneval-in-rio;https://faltintravel.com/karneval-in-rio/
Kultur · Weitere;Royal Ascot Ladies Day 2026;18.06.2026;Ascot Racecourse;Ascot;Vereinigtes Königreich;;;ladies-day-tickets;https://faltintravel.com/ladies-day-tickets/
